#Digilent WaveForms Logger,,,,,,
#Device Name: Discovery2NI,,,,,,
#Serial Number: SN:210321AD0E05,,,,,,
#Date Time: 2020-04-07 14:51:14.905,,,,,,
,,,,,,
Time (s),C1 DC (V),C1 True RMS (Ṽ),C1 AC RMS (Ṽ),C2 DC (V),C2 True RMS (Ṽ),C2 AC RMS (Ṽ)
30,-0.000721149,0.001926115,0.001786019,0.062107879,0.062866281,0.009735536
30.1,-0.000712083,0.001978361,0.001845766,0.088259134,0.089108353,0.012272891
30.2,-0.00053573,0.00195071,0.001875704,0.117455805,0.117961193,0.010907661
30.3,-0.000615972,0.002010232,0.001913534,0.143003921,0.143722122,0.014350161
30.4,-0.000250573,0.002001575,0.001985828,0.176543282,0.177041571,0.01327356
30.5,-0.000138142,0.002101369,0.002096824,0.206211856,0.206620063,0.012981564
30.6,-0.000126355,0.00225373,0.002250186,0.23985456,0.240221018,0.013263768
30.7,-0.000553864,0.00246666,0.002403674,0.283775773,0.284281849,0.016955248
30.8,-0.000828593,0.002875211,0.00275323,0.335354882,0.336460261,0.027250879
30.9,-0.000844914,0.003065195,0.002946445,0.424639537,0.428249129,0.055484951
31,-0.001208953,0.0028527,0.002583859,0.470934894,0.471352919,0.019846897
31.1,-0.001273329,0.002660792,0.002336332,0.448755027,0.448881954,0.010673995
31.2,-0.001064788,0.002238318,0.001968831,0.423588274,0.423681431,0.008884198
31.3,-0.001434268,0.002283449,0.001776799,0.399899874,0.400070659,0.011688609
31.4,-0.001274689,0.002157437,0.001740604,0.375148322,0.375524187,0.016797387
31.5,-0.001368986,0.002224724,0.001753646,0.345290896,0.34553715,0.013042978
31.6,-0.001218927,0.002101874,0.001712335,0.316766411,0.317021834,0.012723356
