Time,Position,Strain,
164.978,0.265726861,,
165.039,0.265734252,,
165.1,0.265748766,,
165.161,0.265698847,,
165.216,0.265700367,,
165.222,0.265724268,,
165.241,0.265587297,,
165.247,0.265577194,,
165.264,0.265548226,,
165.286,0.265571502,,
165.296,0.265595791,,
165.305,0.265597251,,
165.349,0.265607235,,
165.362,0.265618142,,
165.403,0.265590545,,
165.464,0.265600589,,
165.471,0.265587088,,
165.471,0.265587088,,
165.487,0.265204844,,
165.543,0.260549125,,
165.593,0.256486711,,
165.679,0.24955022,,
165.729,0.245443431,,
165.779,0.241385174,,
165.834,0.236918909,,
165.884,0.232904953,,
165.934,0.228849215,,
165.984,0.224804235,,
166.034,0.220756632,,
166.084,0.216725362,,
166.134,0.212665973,,
166.228,0.20509812,,
166.314,0.198109103,,
166.364,0.194102628,,
166.416,0.189852593,,
166.466,0.185861988,,
166.516,0.181802584,,
166.566,0.177797181,,
166.616,0.173740787,,
166.666,0.16967882,,
166.757,0.162358148,,
166.807,0.158334,,
166.885,0.152046232,,
166.935,0.14800158,,
167.022,0.141017361,,
167.072,0.136939449,,
167.128,0.132452382,,
167.178,0.128416328,,
167.228,0.124392046,,
167.278,0.120382859,,
167.359,0.113800047,,
167.423,0.108677982,,
167.484,0.104179091,,
167.489,0.104520692,,
167.492,0.104821606,,
167.509,0.106427258,,
167.512,0.106688647,,
167.562,0.110777034,,
167.612,0.114857598,,
167.662,0.118940397,,
167.712,0.122966772,,
167.79,0.12934026,,
167.84,0.133363767,,
167.89,0.137427164,,
167.94,0.141501216,,
167.99,0.145532189,,
168.04,0.149623288,,
168.09,0.15364383,,
168.14,0.157735823,,
168.19,0.161793096,,
168.193,0.162047086,,
168.243,0.166021375,,
168.293,0.1700896,,
168.38,0.177165923,,
168.43,0.181202022,,
168.48,0.185252456,,
168.53,0.189239246,,
168.58,0.193353829,,
168.63,0.197365788,,
168.68,0.201401991,,
168.73,0.205485133,,
168.78,0.209475217,,
168.83,0.213553203,,
168.88,0.217567978,,
168.93,0.221624938,,
168.98,0.225657296,,
169.03,0.229676706,,
169.08,0.233705637,,
169.13,0.237741214,,
169.18,0.241784674,,
169.23,0.245832485,,
169.28,0.249849287,,
169.33,0.253893253,,
169.38,0.25792667,,
169.407,0.260091004,,
169.457,0.264127222,,
169.477,0.265745309,,
169.489,0.266102788,,
